Request id,Pickup point,Drop Point,Driver id,Status,Request Date,Request Time,Request Time of Day,Request Day,Drop Date,Drop Time,Drop Day
535,Airport,City,3,Trip Completed,11-07-2016,10:00:00,Morning,Monday,11-07-2016,10:31:00,Monday
960,Airport,City,3,Trip Completed,11-07-2016,18:45:00,Evening,Monday,11-07-2016,19:23:00,Monday
1934,Airport,City,3,Trip Completed,12-07-2016,11:17:00,Morning,Tuesday,12-07-2016,12:23:00,Tuesday
2083,Airport,City,3,Trip Completed,12-07-2016,15:46:00,Afternoon,Tuesday,12-07-2016,16:40:00,Tuesday
2211,Airport,City,3,Trip Completed,12-07-2016,18:00:00,Evening,Tuesday,12-07-2016,18:28:00,Tuesday
3096,Airport,City,3,Trip Completed,13-07-2016,08:17:00,Morning,Wednesday,13-07-2016,09:22:00,Wednesday
3881,Airport,City,3,Trip Completed,13-07-2016,21:54:00,Night,Wednesday,13-07-2016,22:51:00,Wednesday
5254,City,Aiport,3,Trip Completed,14-07-2016,21:23:00,Night,Thursday,14-07-2016,22:25:00,Thursday
5434,City,Aiport,3,Trip Completed,15-07-2016,02:41:00,Early Morning,Friday,15-07-2016,03:24:00,Friday
5916,City,Aiport,3,Trip Completed,15-07-2016,10:00:00,Morning,Friday,15-07-2016,10:53:00,Friday
669,City,Aiport,4,Trip Completed,11-07-2016,13:08:00,Afternoon,Monday,11-07-2016,13:49:00,Monday
1567,Airport,City,4,Trip Completed,12-07-2016,06:21:00,Morning,Tuesday,12-07-2016,07:10:00,Tuesday
1826,City,Aiport,4,Trip Completed,12-07-2016,09:27:00,Morning,Tuesday,12-07-2016,10:27:00,Tuesday
2102,City,Aiport,4,Trip Completed,12-07-2016,16:09:00,Evening,Tuesday,12-07-2016,17:01:00,Tuesday
2847,Airport,City,4,Trip Completed,13-07-2016,05:34:00,Early Morning,Wednesday,13-07-2016,06:09:00,Wednesday
3722,Airport,City,4,Trip Completed,13-07-2016,19:57:00,Evening,Wednesday,13-07-2016,20:32:00,Wednesday
4075,City,Aiport,4,Trip Completed,14-07-2016,02:17:00,Early Morning,Thursday,14-07-2016,03:21:00,Thursday
4686,City,Aiport,4,Trip Completed,14-07-2016,13:01:00,Afternoon,Thursday,14-07-2016,13:45:00,Thursday
5771,Airport,City,4,Trip Completed,15-07-2016,08:30:00,Morning,Friday,15-07-2016,09:37:00,Friday
6106,Airport,City,4,Trip Completed,15-07-2016,15:01:00,Afternoon,Friday,15-07-2016,15:47:00,Friday
312,City,Aiport,5,Trip Completed,11-07-2016,07:27:00,Morning,Monday,11-07-2016,08:31:00,Monday
577,Airport,City,5,Trip Completed,11-07-2016,11:03:00,Morning,Monday,11-07-2016,12:01:00,Monday
1179,City,Aiport,5,Trip Completed,11-07-2016,20:58:00,Evening,Monday,11-07-2016,21:45:00,Monday
1756,Airport,City,5,Trip Completed,12-07-2016,08:40:00,Morning,Tuesday,12-07-2016,09:23:00,Tuesday
2052,City,Aiport,5,Trip Completed,12-07-2016,14:48:00,Afternoon,Tuesday,12-07-2016,15:50:00,Tuesday
2559,City,Aiport,5,Trip Completed,12-07-2016,21:32:00,Night,Tuesday,12-07-2016,22:29:00,Tuesday
3014,City,Aiport,5,Trip Completed,13-07-2016,07:28:00,Morning,Wednesday,13-07-2016,08:29:00,Wednesday
3317,City,Aiport,5,Trip Completed,13-07-2016,12:14:00,Afternoon,Wednesday,13-07-2016,12:46:00,Wednesday
4297,City,Aiport,5,Trip Completed,14-07-2016,06:43:00,Morning,Thursday,14-07-2016,07:49:00,Thursday
5857,Airport,City,5,Trip Completed,15-07-2016,09:08:00,Morning,Friday,15-07-2016,10:07:00,Friday
6690,Airport,City,5,Trip Completed,15-07-2016,22:41:00,Night,Friday,15-07-2016,23:51:00,Friday
1517,Airport,City,6,Trip Completed,12-07-2016,05:45:00,Early Morning,Tuesday,12-07-2016,06:28:00,Tuesday
1999,Airport,City,6,Trip Completed,12-07-2016,13:02:00,Afternoon,Tuesday,12-07-2016,13:51:00,Tuesday
2960,Airport,City,6,Trip Completed,13-07-2016,06:50:00,Morning,Wednesday,13-07-2016,07:40:00,Wednesday
3882,City,Aiport,6,Trip Completed,13-07-2016,21:53:00,Night,Wednesday,13-07-2016,22:45:00,Wednesday
4081,Airport,City,6,Trip Completed,14-07-2016,02:37:00,Early Morning,Thursday,14-07-2016,03:30:00,Thursday
4740,City,Aiport,6,Trip Completed,14-07-2016,14:50:00,Afternoon,Thursday,14-07-2016,15:38:00,Thursday
5270,City,Aiport,6,Trip Completed,14-07-2016,21:33:00,Night,Thursday,14-07-2016,22:25:00,Thursday
6758,Airport,City,6,Trip Completed,15-07-2016,00:03:00,Early Morning,Friday,15-07-2016,01:07:00,Friday
5741,City,Aiport,6,Trip Completed,15-07-2016,07:52:00,Morning,Friday,15-07-2016,08:38:00,Friday
6087,Airport,City,6,Trip Completed,15-07-2016,14:28:00,Afternoon,Friday,15-07-2016,15:33:00,Friday
1039,City,Aiport,7,Trip Completed,11-07-2016,19:31:00,Evening,Monday,11-07-2016,20:41:00,Monday
1273,Airport,City,7,Trip Completed,11-07-2016,22:07:00,Night,Monday,11-07-2016,23:12:00,Monday
2480,City,Aiport,7,Trip Completed,12-07-2016,20:39:00,Evening,Tuesday,12-07-2016,21:28:00,Tuesday
4105,City,Aiport,7,Trip Completed,14-07-2016,03:39:00,Early Morning,Thursday,14-07-2016,04:39:00,Thursday
4509,City,Aiport,7,Trip Completed,14-07-2016,09:11:00,Morning,Thursday,14-07-2016,10:17:00,Thursday
4986,Airport,City,7,Trip Completed,14-07-2016,18:52:00,Evening,Thursday,14-07-2016,19:50:00,Thursday
5898,City,Aiport,7,Trip Completed,15-07-2016,09:50:00,Morning,Friday,15-07-2016,10:40:00,Friday
6142,Airport,City,7,Trip Completed,15-07-2016,15:50:00,Afternoon,Friday,15-07-2016,16:36:00,Friday
380,Airport,City,8,Trip Completed,11-07-2016,08:18:00,Morning,Monday,11-07-2016,09:18:00,Monday
1050,Airport,City,8,Trip Completed,11-07-2016,19:39:00,Evening,Monday,11-07-2016,20:30:00,Monday
1769,City,Aiport,8,Trip Completed,12-07-2016,08:57:00,Morning,Tuesday,12-07-2016,09:24:00,Tuesday
2520,City,Aiport,8,Trip Completed,12-07-2016,21:05:00,Night,Tuesday,12-07-2016,22:20:00,Tuesday
3265,Airport,City,8,Trip Completed,13-07-2016,10:22:00,Morning,Wednesday,13-07-2016,11:07:00,Wednesday
4648,City,Aiport,8,Trip Completed,14-07-2016,11:55:00,Morning,Thursday,14-07-2016,12:59:00,Thursday
449,Airport,City,9,Trip Completed,11-07-2016,09:08:00,Morning,Monday,11-07-2016,09:52:00,Monday
846,Airport,City,9,Trip Completed,11-07-2016,17:46:00,Evening,Monday,11-07-2016,18:52:00,Monday
1346,Airport,City,9,Trip Completed,11-07-2016,23:39:00,Night,Monday,12-07-2016,00:23:00,Tuesday
1474,Airport,City,9,Trip Completed,12-07-2016,05:13:00,Early Morning,Tuesday,12-07-2016,05:56:00,Tuesday
2240,City,Aiport,9,Trip Completed,12-07-2016,18:20:00,Evening,Tuesday,12-07-2016,18:54:00,Tuesday
3072,Airport,City,9,Trip Completed,13-07-2016,08:04:00,Morning,Wednesday,13-07-2016,08:36:00,Wednesday
3459,Airport,City,9,Trip Completed,13-07-2016,17:03:00,Evening,Wednesday,13-07-2016,17:31:00,Wednesday
3774,Airport,City,9,Trip Completed,13-07-2016,20:41:00,Evening,Wednesday,13-07-2016,21:27:00,Wednesday
4023,City,Aiport,9,Trip Completed,13-07-2016,23:58:00,Night,Wednesday,14-07-2016,00:58:00,Thursday
4117,City,Aiport,9,Trip Completed,14-07-2016,04:21:00,Early Morning,Thursday,14-07-2016,05:07:00,Thursday
4880,Airport,City,9,Trip Completed,14-07-2016,17:58:00,Evening,Thursday,14-07-2016,19:02:00,Thursday
5568,Airport,City,9,Trip Completed,15-07-2016,05:47:00,Early Morning,Friday,15-07-2016,06:25:00,Friday
5994,Airport,City,9,Trip Completed,15-07-2016,11:51:00,Morning,Friday,15-07-2016,12:32:00,Friday
1809,Airport,City,10,Trip Completed,12-07-2016,09:13:00,Morning,Tuesday,12-07-2016,10:01:00,Tuesday
2064,Airport,City,10,Trip Completed,12-07-2016,15:08:00,Afternoon,Tuesday,12-07-2016,16:14:00,Tuesday
3210,City,Aiport,10,Trip Completed,13-07-2016,09:47:00,Morning,Wednesday,13-07-2016,10:52:00,Wednesday
4350,City,Aiport,10,Trip Completed,14-07-2016,07:24:00,Morning,Thursday,14-07-2016,08:22:00,Thursday
4713,City,Aiport,10,Trip Completed,14-07-2016,13:31:00,Afternoon,Thursday,14-07-2016,14:10:00,Thursday
5629,Airport,City,10,Trip Completed,15-07-2016,06:33:00,Morning,Friday,15-07-2016,07:19:00,Friday
6157,Airport,City,10,Trip Completed,15-07-2016,16:32:00,Evening,Friday,15-07-2016,17:44:00,Friday
2030,City,Aiport,11,Trip Completed,12-07-2016,14:11:00,Afternoon,Tuesday,12-07-2016,15:02:00,Tuesday
3226,City,Aiport,11,Trip Completed,13-07-2016,10:00:00,Morning,Wednesday,13-07-2016,11:02:00,Wednesday
3353,City,Aiport,11,Trip Completed,13-07-2016,13:29:00,Afternoon,Wednesday,13-07-2016,14:09:00,Wednesday
4293,City,Aiport,11,Trip Completed,14-07-2016,06:42:00,Morning,Thursday,14-07-2016,07:12:00,Thursday
4936,City,Aiport,11,Trip Completed,14-07-2016,18:22:00,Evening,Thursday,14-07-2016,19:14:00,Thursday
5661,Airport,City,11,Trip Completed,15-07-2016,07:08:00,Morning,Friday,15-07-2016,07:59:00,Friday
5778,City,Aiport,11,Trip Completed,15-07-2016,08:22:00,Morning,Friday,15-07-2016,09:13:00,Friday
6425,Airport,City,11,Trip Completed,15-07-2016,19:46:00,Evening,Friday,15-07-2016,20:26:00,Friday
45,Airport,City,12,Trip Completed,11-07-2016,03:17:00,Early Morning,Monday,11-07-2016,04:09:00,Monday
264,City,Aiport,12,Trip Completed,11-07-2016,06:51:00,Morning,Monday,11-07-2016,07:40:00,Monday
1183,City,Aiport,12,Trip Completed,11-07-2016,21:05:00,Night,Monday,11-07-2016,21:38:00,Monday
1536,Airport,City,12,Trip Completed,12-07-2016,05:59:00,Early Morning,Tuesday,12-07-2016,06:59:00,Tuesday
2437,City,Aiport,12,Trip Completed,12-07-2016,20:18:00,Evening,Tuesday,12-07-2016,21:26:00,Tuesday
2641,Airport,City,12,Trip Completed,12-07-2016,22:28:00,Night,Tuesday,12-07-2016,23:05:00,Tuesday
4077,Airport,City,12,Trip Completed,14-07-2016,02:14:00,Early Morning,Thursday,14-07-2016,03:13:00,Thursday
4610,City,Aiport,12,Trip Completed,14-07-2016,10:35:00,Morning,Thursday,14-07-2016,11:39:00,Thursday
5066,Airport,City,12,Trip Completed,14-07-2016,19:31:00,Evening,Thursday,14-07-2016,20:14:00,Thursday
5666,Airport,City,12,Trip Completed,15-07-2016,07:04:00,Morning,Friday,15-07-2016,08:12:00,Friday
5923,City,Aiport,12,Trip Completed,15-07-2016,10:07:00,Morning,Friday,15-07-2016,10:50:00,Friday
6367,City,Aiport,12,Trip Completed,15-07-2016,19:04:00,Evening,Friday,15-07-2016,19:46:00,Friday
155,City,Aiport,13,Trip Completed,11-07-2016,05:32:00,Early Morning,Monday,11-07-2016,06:28:00,Monday
310,Airport,City,13,Trip Completed,11-07-2016,07:24:00,Morning,Monday,11-07-2016,08:28:00,Monday
607,City,Aiport,13,Trip Completed,11-07-2016,11:51:00,Morning,Monday,11-07-2016,12:42:00,Monday
1012,City,Aiport,13,Trip Completed,11-07-2016,19:15:00,Evening,Monday,11-07-2016,19:57:00,Monday
1696,Airport,City,13,Trip Completed,12-07-2016,08:01:00,Morning,Tuesday,12-07-2016,08:42:00,Tuesday
3076,City,Aiport,13,Trip Completed,13-07-2016,08:09:00,Morning,Wednesday,13-07-2016,09:12:00,Wednesday
4198,Airport,City,13,Trip Completed,14-07-2016,05:32:00,Early Morning,Thursday,14-07-2016,06:45:00,Thursday
4627,City,Aiport,13,Trip Completed,14-07-2016,11:13:00,Morning,Thursday,14-07-2016,12:00:00,Thursday
5289,City,Aiport,13,Trip Completed,14-07-2016,21:43:00,Night,Thursday,14-07-2016,22:24:00,Thursday
5495,Airport,City,13,Trip Completed,15-07-2016,05:00:00,Early Morning,Friday,15-07-2016,06:02:00,Friday
6656,Airport,City,13,Trip Completed,15-07-2016,22:08:00,Night,Friday,15-07-2016,22:41:00,Friday
139,Airport,City,14,Trip Completed,11-07-2016,05:21:00,Early Morning,Monday,11-07-2016,06:09:00,Monday
215,City,Aiport,14,Trip Completed,11-07-2016,06:15:00,Morning,Monday,11-07-2016,07:07:00,Monday
1816,City,Aiport,14,Trip Completed,12-07-2016,09:24:00,Morning,Tuesday,12-07-2016,10:07:00,Tuesday
2505,Airport,City,14,Trip Completed,12-07-2016,21:03:00,Night,Tuesday,12-07-2016,22:14:00,Tuesday
3346,City,Aiport,14,Trip Completed,13-07-2016,13:01:00,Afternoon,Wednesday,13-07-2016,13:55:00,Wednesday
5294,City,Aiport,14,Trip Completed,14-07-2016,21:45:00,Night,Thursday,14-07-2016,22:16:00,Thursday
6226,Airport,City,14,Trip Completed,15-07-2016,17:34:00,Evening,Friday,15-07-2016,18:33:00,Friday
6733,Airport,City,14,Trip Completed,15-07-2016,23:32:00,Night,Friday,16-07-2016,00:37:00,Saturday
1027,Airport,City,15,Trip Completed,11-07-2016,19:18:00,Evening,Monday,11-07-2016,20:24:00,Monday
2675,Airport,City,15,Trip Completed,12-07-2016,23:43:00,Night,Tuesday,13-07-2016,00:35:00,Wednesday
3200,City,Aiport,15,Trip Completed,13-07-2016,09:39:00,Morning,Wednesday,13-07-2016,10:30:00,Wednesday
3865,City,Aiport,15,Trip Completed,13-07-2016,21:52:00,Night,Wednesday,13-07-2016,22:21:00,Wednesday
4468,City,Aiport,15,Trip Completed,14-07-2016,08:42:00,Morning,Thursday,14-07-2016,09:22:00,Thursday
5163,Airport,City,15,Trip Completed,14-07-2016,20:34:00,Evening,Thursday,14-07-2016,21:05:00,Thursday
6009,City,Aiport,15,Trip Completed,15-07-2016,12:22:00,Afternoon,Friday,15-07-2016,13:25:00,Friday
6448,Airport,City,15,Trip Completed,15-07-2016,20:02:00,Evening,Friday,15-07-2016,20:40:00,Friday
591,City,Aiport,16,Trip Completed,11-07-2016,11:25:00,Morning,Monday,11-07-2016,12:31:00,Monday
709,City,Aiport,16,Trip Completed,11-07-2016,14:16:00,Afternoon,Monday,11-07-2016,15:03:00,Monday
1167,Airport,City,16,Trip Completed,11-07-2016,20:50:00,Evening,Monday,11-07-2016,21:52:00,Monday
2661,Airport,City,16,Trip Completed,12-07-2016,23:23:00,Night,Tuesday,13-07-2016,00:27:00,Wednesday
2808,City,Aiport,16,Trip Completed,13-07-2016,05:05:00,Early Morning,Wednesday,13-07-2016,05:56:00,Wednesday
3258,Airport,City,16,Trip Completed,13-07-2016,10:12:00,Morning,Wednesday,13-07-2016,10:45:00,Wednesday
3413,Airport,City,16,Trip Completed,13-07-2016,15:32:00,Afternoon,Wednesday,13-07-2016,16:45:00,Wednesday
3939,Airport,City,16,Trip Completed,13-07-2016,22:26:00,Night,Wednesday,13-07-2016,22:55:00,Wednesday
4125,City,Aiport,16,Trip Completed,14-07-2016,04:37:00,Early Morning,Thursday,14-07-2016,05:46:00,Thursday
4457,City,Aiport,16,Trip Completed,14-07-2016,08:36:00,Morning,Thursday,14-07-2016,09:19:00,Thursday
4728,City,Aiport,16,Trip Completed,14-07-2016,14:04:00,Afternoon,Thursday,14-07-2016,15:06:00,Thursday
5347,Airport,City,16,Trip Completed,14-07-2016,22:51:00,Night,Thursday,14-07-2016,23:53:00,Thursday
6147,City,Aiport,16,Trip Completed,15-07-2016,16:11:00,Evening,Friday,15-07-2016,17:30:00,Friday
6496,Airport,City,16,Trip Completed,15-07-2016,20:33:00,Evening,Friday,15-07-2016,21:32:00,Friday
634,City,Aiport,17,Trip Completed,11-07-2016,12:25:00,Afternoon,Monday,11-07-2016,13:06:00,Monday
939,Airport,City,17,Trip Completed,11-07-2016,18:25:00,Evening,Monday,11-07-2016,19:26:00,Monday
2628,Airport,City,17,Trip Completed,12-07-2016,22:10:00,Night,Tuesday,12-07-2016,23:25:00,Tuesday
3021,City,Aiport,17,Trip Completed,13-07-2016,07:33:00,Morning,Wednesday,13-07-2016,08:26:00,Wednesday
4743,City,Aiport,17,Trip Completed,14-07-2016,14:54:00,Afternoon,Thursday,14-07-2016,15:39:00,Thursday
4981,City,Aiport,17,Trip Completed,14-07-2016,18:47:00,Evening,Thursday,14-07-2016,19:43:00,Thursday
5367,Airport,City,17,Trip Completed,14-07-2016,23:35:00,Night,Thursday,15-07-2016,00:25:00,Friday
5471,Airport,City,17,Trip Completed,15-07-2016,04:48:00,Early Morning,Friday,15-07-2016,05:47:00,Friday
5988,Airport,City,17,Trip Completed,15-07-2016,11:48:00,Morning,Friday,15-07-2016,12:55:00,Friday
6477,Airport,City,17,Trip Completed,15-07-2016,20:21:00,Evening,Friday,15-07-2016,21:00:00,Friday
499,City,Aiport,18,Trip Completed,11-07-2016,09:39:00,Morning,Monday,11-07-2016,10:16:00,Monday
1147,Airport,City,18,Trip Completed,11-07-2016,20:42:00,Evening,Monday,11-07-2016,21:18:00,Monday
1410,Airport,City,18,Trip Completed,12-07-2016,03:14:00,Early Morning,Tuesday,12-07-2016,04:27:00,Tuesday
1804,Airport,City,18,Trip Completed,12-07-2016,09:12:00,Morning,Tuesday,12-07-2016,09:57:00,Tuesday
1949,Airport,City,18,Trip Completed,12-07-2016,11:32:00,Morning,Tuesday,12-07-2016,12:13:00,Tuesday
2713,City,Aiport,18,Trip Completed,13-07-2016,01:46:00,Early Morning,Wednesday,13-07-2016,02:37:00,Wednesday
2845,City,Aiport,18,Trip Completed,13-07-2016,05:28:00,Early Morning,Wednesday,13-07-2016,06:10:00,Wednesday
3943,Airport,City,18,Trip Completed,13-07-2016,22:35:00,Night,Wednesday,13-07-2016,23:33:00,Wednesday
4792,City,Aiport,18,Trip Completed,14-07-2016,16:47:00,Evening,Thursday,14-07-2016,17:34:00,Thursday
5207,Airport,City,18,Trip Completed,14-07-2016,20:57:00,Evening,Thursday,14-07-2016,21:56:00,Thursday
5890,City,Aiport,18,Trip Completed,15-07-2016,09:43:00,Morning,Friday,15-07-2016,10:55:00,Friday
494,City,Aiport,19,Trip Completed,11-07-2016,09:36:00,Morning,Monday,11-07-2016,10:02:00,Monday
1485,City,Aiport,19,Trip Completed,12-07-2016,05:21:00,Early Morning,Tuesday,12-07-2016,06:35:00,Tuesday
2042,City,Aiport,19,Trip Completed,12-07-2016,14:30:00,Afternoon,Tuesday,12-07-2016,15:09:00,Tuesday
2561,Airport,City,19,Trip Completed,12-07-2016,21:29:00,Night,Tuesday,12-07-2016,22:44:00,Tuesday
3813,Airport,City,19,Trip Completed,13-07-2016,21:06:00,Night,Wednesday,13-07-2016,21:46:00,Wednesday
4260,Airport,City,19,Trip Completed,14-07-2016,06:11:00,Morning,Thursday,14-07-2016,06:59:00,Thursday
4395,City,Aiport,19,Trip Completed,14-07-2016,08:00:00,Morning,Thursday,14-07-2016,08:54:00,Thursday
5919,City,Aiport,19,Trip Completed,15-07-2016,10:03:00,Morning,Friday,15-07-2016,10:59:00,Friday
6002,Airport,City,19,Trip Completed,15-07-2016,12:04:00,Afternoon,Friday,15-07-2016,12:53:00,Friday
468,City,Aiport,20,Trip Completed,11-07-2016,09:20:00,Morning,Monday,11-07-2016,10:05:00,Monday
693,Airport,City,20,Trip Completed,11-07-2016,13:51:00,Afternoon,Monday,11-07-2016,15:01:00,Monday
1178,City,Aiport,20,Trip Completed,11-07-2016,21:05:00,Night,Monday,11-07-2016,22:06:00,Monday
2103,City,Aiport,20,Trip Completed,12-07-2016,16:08:00,Evening,Tuesday,12-07-2016,17:18:00,Tuesday
2292,Airport,City,20,Trip Completed,12-07-2016,18:46:00,Evening,Tuesday,12-07-2016,19:23:00,Tuesday
3339,City,Aiport,20,Trip Completed,13-07-2016,12:40:00,Afternoon,Wednesday,13-07-2016,13:30:00,Wednesday
3694,City,Aiport,20,Trip Completed,13-07-2016,19:33:00,Evening,Wednesday,13-07-2016,20:35:00,Wednesday
4469,City,Aiport,20,Trip Completed,14-07-2016,08:45:00,Morning,Thursday,14-07-2016,09:48:00,Thursday
6432,City,Aiport,20,Trip Completed,15-07-2016,19:50:00,Evening,Friday,15-07-2016,20:30:00,Friday
1895,City,Aiport,21,Trip Completed,12-07-2016,10:20:00,Morning,Tuesday,12-07-2016,10:52:00,Tuesday
1981,Airport,City,21,Trip Completed,12-07-2016,12:23:00,Afternoon,Tuesday,12-07-2016,12:56:00,Tuesday
3744,Airport,City,21,Trip Completed,13-07-2016,20:28:00,Evening,Wednesday,13-07-2016,21:22:00,Wednesday
4433,Airport,City,21,Trip Completed,14-07-2016,08:26:00,Morning,Thursday,14-07-2016,09:12:00,Thursday
6039,Airport,City,21,Trip Completed,15-07-2016,13:11:00,Afternoon,Friday,15-07-2016,13:38:00,Friday
6543,City,Aiport,21,Trip Completed,15-07-2016,20:54:00,Evening,Friday,15-07-2016,22:12:00,Friday
110,City,Aiport,22,Trip Completed,11-07-2016,05:05:00,Early Morning,Monday,11-07-2016,06:06:00,Monday
362,City,Aiport,22,Trip Completed,11-07-2016,08:01:00,Morning,Monday,11-07-2016,09:18:00,Monday
666,Airport,City,22,Trip Completed,11-07-2016,13:02:00,Afternoon,Monday,11-07-2016,13:45:00,Monday
926,City,Aiport,22,Trip Completed,11-07-2016,18:28:00,Evening,Monday,11-07-2016,19:34:00,Monday
1180,Airport,City,22,Trip Completed,11-07-2016,21:01:00,Night,Monday,11-07-2016,22:14:00,Monday
1900,City,Aiport,22,Trip Completed,12-07-2016,10:32:00,Morning,Tuesday,12-07-2016,11:42:00,Tuesday
2506,City,Aiport,22,Trip Completed,12-07-2016,21:01:00,Night,Tuesday,12-07-2016,21:38:00,Tuesday
3064,City,Aiport,22,Trip Completed,13-07-2016,08:02:00,Morning,Wednesday,13-07-2016,08:58:00,Wednesday
3327,Airport,City,22,Trip Completed,13-07-2016,12:24:00,Afternoon,Wednesday,13-07-2016,13:23:00,Wednesday
3601,City,Aiport,22,Trip Completed,13-07-2016,18:39:00,Evening,Wednesday,13-07-2016,19:29:00,Wednesday
4768,Airport,City,22,Trip Completed,14-07-2016,15:39:00,Afternoon,Thursday,14-07-2016,16:49:00,Thursday
5142,City,Aiport,22,Trip Completed,14-07-2016,20:17:00,Evening,Thursday,14-07-2016,20:48:00,Thursday
5366,Airport,City,22,Trip Completed,14-07-2016,23:27:00,Night,Thursday,15-07-2016,00:19:00,Friday
5575,City,Aiport,22,Trip Completed,15-07-2016,05:53:00,Early Morning,Friday,15-07-2016,06:50:00,Friday
5902,City,Aiport,22,Trip Completed,15-07-2016,09:52:00,Morning,Friday,15-07-2016,10:37:00,Friday
6694,Airport,City,22,Trip Completed,15-07-2016,22:45:00,Night,Friday,15-07-2016,23:17:00,Friday
523,Airport,City,23,Trip Completed,11-07-2016,09:48:00,Morning,Monday,11-07-2016,10:37:00,Monday
747,City,Aiport,23,Trip Completed,11-07-2016,15:53:00,Afternoon,Monday,11-07-2016,16:43:00,Monday
1371,Airport,City,23,Trip Completed,12-07-2016,00:22:00,Early Morning,Tuesday,12-07-2016,01:33:00,Tuesday
1553,City,Aiport,23,Trip Completed,12-07-2016,06:09:00,Morning,Tuesday,12-07-2016,07:09:00,Tuesday
1692,Airport,City,23,Trip Completed,12-07-2016,07:52:00,Morning,Tuesday,12-07-2016,09:01:00,Tuesday
2114,City,Aiport,23,Trip Completed,12-07-2016,16:36:00,Evening,Tuesday,12-07-2016,17:21:00,Tuesday
2742,City,Aiport,23,Trip Completed,13-07-2016,03:07:00,Early Morning,Wednesday,13-07-2016,03:51:00,Wednesday
4273,City,Aiport,23,Trip Completed,14-07-2016,06:17:00,Morning,Thursday,14-07-2016,07:02:00,Thursday
4668,City,Aiport,23,Trip Completed,14-07-2016,12:25:00,Afternoon,Thursday,14-07-2016,13:34:00,Thursday
5425,City,Aiport,23,Trip Completed,15-07-2016,02:23:00,Early Morning,Friday,15-07-2016,03:08:00,Friday
5488,City,Aiport,23,Trip Completed,15-07-2016,04:53:00,Early Morning,Friday,15-07-2016,06:00:00,Friday
5781,City,Aiport,23,Trip Completed,15-07-2016,08:35:00,Morning,Friday,15-07-2016,09:42:00,Friday
5966,Airport,City,23,Trip Completed,15-07-2016,10:54:00,Morning,Friday,15-07-2016,11:58:00,Friday
6122,City,Aiport,23,Trip Completed,15-07-2016,15:26:00,Afternoon,Friday,15-07-2016,16:29:00,Friday
357,Airport,City,24,Trip Completed,11-07-2016,08:00:00,Morning,Monday,11-07-2016,09:08:00,Monday
1068,City,Aiport,24,Trip Completed,11-07-2016,19:52:00,Evening,Monday,11-07-2016,20:48:00,Monday
2689,Airport,City,24,Trip Completed,13-07-2016,00:34:00,Early Morning,Wednesday,13-07-2016,01:49:00,Wednesday
2791,City,Aiport,24,Trip Completed,13-07-2016,04:56:00,Early Morning,Wednesday,13-07-2016,05:33:00,Wednesday
3321,City,Aiport,24,Trip Completed,13-07-2016,12:23:00,Afternoon,Wednesday,13-07-2016,13:25:00,Wednesday
3423,Airport,City,24,Trip Completed,13-07-2016,15:52:00,Afternoon,Wednesday,13-07-2016,16:50:00,Wednesday
